Carga,Placa,Nº Pedido,Cód. Cliente,Nome Cliente,Grupo Cliente,Endereço de Entrega,Bairro de Entrega,Cidade de Entrega,Qtde. dos Itens,Peso dos Itens,Latitude,Longitude,Veiculo,Data Roteirizacao
,DXG5743,3726125,13733,CARREFOUR COMERCIO E INDUSTRIA LTDA,Carrefour,"Rodovia PRESIDENTE CASTELO BRANCO KM 33, SN",Itaqui,Itapevi,765,15300,-23.54889,-46.93417,1,2025-04-17 12:55:48
,FTY6B82,3727732,8796,JOÃO DE OLIVEIRA AÇOUGUE ITAPEVI-ME,Nenhum,"Rua Pedro Paulino, 28",Jardim Paulista,Itapevi,14,280,-23.54889,-46.93417,78,2025-04-17 12:55:48
,FTY6B82,3727906,178184,N.S. LAR SUPERMERCADO LTDA.,Nenhum,"Avenida DOS SUL AMERICANOS, 57",Parque Suburbano,Itapevi,15,300,-23.54889,-46.93417,78,2025-04-17 12:55:48
,FTY6B82,3727205,206875,CASA SP2 COMERCIO DE ALIMENTOS LTDA,Nenhum,"Rua HELOIZA HIDEKO KOBA, 628",Jardim Nova Itapevi,Itapevi,15,300,-23.54889,-46.93417,78,2025-04-17 12:55:48
,FTY6B82,3727972,218,CASA DE CARNES NOVA SUBLIME LTDA - ME,Nenhum,"Avenida JOAO PAULO ABLAS, 45",Jardim da Glória,Cotia,12,240,-23.5977232,-46.8415226,78,2025-04-17 12:55:48
,FTY6B82,3727877,211576,PRIMO PIATTO COMERCIO DE ALIMENTOS LTDA,Nenhum,"Rodovia RAPOSO TAVARES, S/N",Lageadinho,Cotia,3,60,-23.5895637,-46.8176687,78,2025-04-17 12:55:48
,FTY6B82,3728402,11365,SUPERMERCADO LISBOA DE OSASCO LTDA ME,Nenhum,"Rua MARIO QUINTANA, 260",Recanto das Rosas,Osasco,17,340,-23.5807046,-46.8147375,78,2025-04-17 12:55:48
,FTY6B82,3727787,204319,GICA BOX LTDA,Nenhum,"Rua PARANAENSE, 878",JARDIM CONCEICAO,Osasco,13,260,-23.5784665,-46.8019092,78,2025-04-17 12:55:48
,FTY6B82,3728321,10905,MERCADINHO ADATI LTDA,Nenhum,"Rua PADRE JUAN DE SOLORZANO, 185",Jardim João XXIII,São Paulo,30,600,-23.6034696,-46.7906707,78,2025-04-17 12:55:48
,FTY6B82,3728180,5861,MERCADINHO AURI LTDA,Arcos,"Rua CID NELSON JORDANO, 776",Jardim Salete,Taboão da Serra,14,280,-23.6279078,-46.7992198,78,2025-04-17 12:55:48
,FTY6B82,3727692,215025,MERCADO E TRANSPORTES KJ LTDA,Nenhum,"Rua IBIUNA, 165",ARRAIAL PAULISTA,Taboão da Serra,8,164,-23.62611,-46.79167,78,2025-04-17 12:55:48
,FTY6B82,3728409,198382,CASA DE CARNES PORTO BELO EIRELI,Nenhum,"Avenida FRANCISCO ETTORE PEDRO MARI, 1021",VILA VIRGINIA,Taboão da Serra,8,160,-23.62611,-46.79167,78,2025-04-17 12:55:48
